UBIGEO,NAME_CLEAN,YEAR,count,mean,min,max,std,p10,p90,pct_below_0C
000000,CODO DEL POZUZO,2021,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000001,TOURNAVISTA,2021,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000002,ALEXANDER VON HUMBOLDT,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000003,IRAZOLA,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000004,NESHUYA,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000005,PADRE ABAD,2021,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000006,CURIMANA,2021,15,1.466160535812378,0.0,21.992408752441406,5.485870838165283,0.0,0.0,0.9333333333333333
000007,PUERTO INCA,2021,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000008,NUEVA REQUENA,2021,17,5.249425888061523,0.0,22.330846786499023,9.463541984558105,0.0,22.30689239501953,0.7647058823529411
000009,CAMPOVERDE,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000010,CONTAMANA,2021,31,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000011,HUANCHACO,2021,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000012,SANTIAGO DE CAO,2021,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000013,SIMBAL,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000014,MAGDALENA DE CAO,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000015,CHOCOPE,2021,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000016,PAIJAN,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000017,SINSICAP,2021,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000018,CHICAMA,2021,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000019,RAZURI,2021,5,3.5955824851989746,0.0,17.97791290283203,7.191164970397949,0.0,10.78674602508545,0.8
000020,MARMOT,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000021,ASCOPE,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000022,CASCAS,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000023,CASA GRANDE,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000024,SAN BENITO,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000025,SAN PEDRO DE LLOC,2021,8,4.630056858062744,0.0,18.64507484436035,8.019736289978027,0.0,18.47028923034668,0.75
000026,CUPISNIQUE,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000027,CORONEL GREGORIO ALBARRACIN LANCHIPA,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000028,POCOLLAY,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000029,CALANA,2021,4,3.0956363677978516,0.0,12.382545471191406,5.361799716949463,0.0,8.667779922485352,0.75
000030,TACNA,2021,19,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000031,SAMA,2021,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000032,CIUDAD NUEVA,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000033,ITE,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000034,ILO,2021,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000035,ALTO DE LA ALIANZA,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000036,PACHIA,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000037,ESTIQUE-PAMPA,2021,5,1.4181783199310303,0.0,7.090891361236572,2.8363566398620605,0.0,4.2545342445373535,0.8
000038,ESTIQUE,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000039,TARUCACHI,2021,5,-0.7929874062538147,-4.158355236053467,0.19341818988323212,1.6843504905700684,-2.4950132369995117,0.11605089902877808,0.8
000040,INCLAN,2021,12,0.7738550305366516,0.0,9.286260604858398,2.566586971282959,0.0,0.0,0.9166666666666666
000041,LOCUMBA,2021,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000042,EL ALGARROBAL,2021,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000043,PALCA,2021,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000044,HEROES ALBARRACIN,2021,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000045,CURIBAYA,2021,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
