UBIGEO,NAME_CLEAN,YEAR,count,mean,min,max,std,p10,p90,pct_below_0C
001079,LA MERCED,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001080,EL CARMEN,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001081,CURAHUASI,2022,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001082,POROY,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001083,ANCO_HUALLO,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001084,CUSCO,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001085,TAMBO,2022,6,0.05939989909529686,-0.3262602388858795,0.6826596260070801,0.3031225800514221,-0.16313011944293976,0.34132981300354004,0.8333333333333334
001086,CAICAY,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001087,HUANCARANI,2022,4,2.7197370529174805,0.0,4.820888042449951,1.7759730815887451,0.7425956130027771,4.449443817138672,0.25
001088,CCATCA,2022,5,0.8058490753173828,0.0,4.029245376586914,1.6116981506347656,0.0,2.4175467491149902,0.8
001089,QUITO-ARMA,2022,5,1.942264199256897,0.0,6.433390140533447,2.5795886516571045,0.0,5.171205997467041,0.6
001090,CHINCHEROS,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001091,KAQUIABAMBA,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001092,HUAMATAMBO,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001093,SECCLLA,2022,5,0.8160185813903809,0.0,4.080092906951904,1.6320371627807617,0.0,2.4480552673339844,0.8
001094,SAN LUIS,2022,2,8.387798309326172,0.0,16.775596618652344,8.387798309326172,1.677559733390808,15.098036766052246,0.5
001095,ARMA,2022,5,0.49445071816444397,0.0,2.4722535610198975,0.9889014363288879,0.0,1.4833519458770752,0.8
001096,SANTA TERESA,2022,9,1.5827752351760864,0.0,14.244976997375488,4.476764678955078,0.0,2.8489925861358643,0.8888888888888888
001097,SAN PEDRO DE PUTINA PUNCO,2022,18,1.2338618040084839,0.0,22.20951271057129,5.087342262268066,0.0,0.0,0.9444444444444444
001098,CHAVIN,2022,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001099,IMPERIAL,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001100,SAN PEDRO DE HUACARPANA,2022,5,0.01499850582331419,0.0,0.07499253004789352,0.02999701164662838,0.0,0.0449955090880394,0.8
001101,AZANGARO,2022,4,1.7393773794174194,0.0,6.957509517669678,3.0126898288726807,0.0,4.870255470275879,0.75
001102,HUAYOPATA,2022,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001103,PAMPAS,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001104,COCHAS,2022,3,3.114225149154663,0.0,9.34267520904541,4.404179096221924,0.0,7.47413969039917,0.6666666666666666
001105,CHICCHE,2022,3,0.12408573180437088,-0.11378704756498337,0.4860442578792572,0.2601247727870941,-0.09102963656187057,0.3888353705406189,0.6666666666666666
001106,AYAVIRI,2022,5,-0.19065842032432556,-0.9532920718193054,0.0,0.3813168406486511,-0.5719752311706543,0.0,1.0
001107,QUINOCAY,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001108,QUINCHES,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001109,COLCA,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001110,ALIS,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001111,HUANEC,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001112,PUNTA NEGRA,2022,5,3.1077961921691895,0.0,15.538981437683105,6.215592384338379,0.0,9.323387145996094,0.8
001113,QUISHUAR,2022,2,4.356774806976318,0.0,8.713549613952637,4.356774806976318,0.8713549971580505,7.842194557189941,0.5
001114,MARIATANA,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001115,SAN JOAQUIN,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001116,CULLHUAS,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001117,MADRE DE DIOS,2022,26,0.8504596948623657,0.0,22.11195182800293,4.252297878265381,0.0,0.0,0.9615384615384616
001118,LA PERLA,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001119,SAN LUIS,2022,1,18.04511833190918,18.04511833190918,18.04511833190918,0.0,18.04511833190918,18.04511833190918,0.0
001120,SAN MIGUEL,2022,2,9.136795043945312,0.0,18.273590087890625,9.136795043945312,1.8273590803146362,16.446229934692383,0.5
001121,CHINCHAYPUJIO,2022,6,0.8020442128181458,0.0,2.578935384750366,1.138641119003296,0.0,2.406132698059082,0.6666666666666666
001122,PUCYURA,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001123,ANDARAPA,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001124,CACHIMAYO,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001125,SAN SALVADOR,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001126,LIMBANI,2022,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001127,ONGOY,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001128,MOLLEPATA,2022,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001129,LIMATAMBO,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001130,PISAC,2022,5,0.3847431242465973,0.0,1.923715591430664,0.7694862484931946,0.0,1.1542291641235352,0.8
001131,TICRAPO,2022,5,1.1666843891143799,0.0,5.8334221839904785,2.3333687782287598,0.0,3.5000526905059814,0.8
001132,HUAROCONDO,2022,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001133,MARAS,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001134,LAMAY,2022,4,0.4264949858188629,0.0,1.7059799432754517,0.7387109994888306,0.0,1.1941856145858765,0.75
001135,HUAYLLABAMBA,2022,3,0.7761681079864502,0.0,2.3285043239593506,1.0976674556732178,0.0,1.862803339958191,0.6666666666666666
001136,ALTO LARAN,2022,8,1.5650993585586548,0.0,12.520794868469238,4.140863418579102,0.0,3.756234884262085,0.875
001137,COLQUEPATA,2022,8,0.23924845457077026,0.0,1.913987636566162,0.6329919099807739,0.0,0.5741957426071167,0.875
001138,YUCAY,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001139,VILLA EL SALVADOR,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001140,PUNTA HERMOSA,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001141,MARCAPATA,2022,11,1.152161717414856,0.0,12.673778533935547,3.6434555053710938,0.0,0.0,0.9090909090909091
001142,SAN PEDRO DE PALCO,2022,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001143,SAN PEDRO DE LARCAY,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001144,HUACANA,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001145,PAICO,2022,3,1.9779332876205444,0.0,5.933799743652344,2.79721999168396,0.0,4.747039794921875,0.6666666666666666
001146,CARAPO,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001147,CARHUANCA,2022,3,3.2779407501220703,0.0,6.252107620239258,2.561434745788574,0.7163428664207458,5.718029022216797,0.3333333333333333
001148,SANTIAGO DE LUCANAMARCA,2022,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001149,HUAMBALPA,2022,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001150,CANARIA,2022,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001151,SAN SALVADOR DE QUIJE,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001152,QUEROBAMBA,2022,5,1.6535987854003906,0.0,8.267993927001953,3.3071975708007812,0.0,4.9607954025268555,0.8
001153,CHILCAYOC,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001154,INDEPENDENCIA,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001155,CHALCOS,2022,3,3.2169265747070312,0.0,9.650779724121094,4.549421310424805,0.0,7.72062349319458,0.6666666666666666
001156,SACSAMARCA,2022,6,0.4887763559818268,0.0,2.9326581954956055,1.0929371118545532,0.0,1.4663290977478027,0.8333333333333334
001157,HUALLA,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001158,SANCOS,2022,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001159,SAN PEDRO DE CACHORA,2022,3,7.999387264251709,0.0,12.3345947265625,5.663050651550293,2.3327136039733887,12.20038890838623,0.3333333333333333
001160,TARAY,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001161,ZURITE,2022,2,0.4147432744503021,0.0,0.8294865489006042,0.4147432744503021,0.08294865489006042,0.7465378642082214,0.5
001162,TAMBO DE MORA,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001163,PACOBAMBA,2022,6,2.5600638389587402,0.0,15.360383033752441,5.7244768142700195,0.0,7.680191516876221,0.8333333333333334
001164,SUNAMPE,2022,2,8.598529815673828,0.0,17.197059631347656,8.598529815673828,1.7197059392929077,15.4773530960083,0.5
001165,EL CARMEN,2022,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001166,ANTA,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001167,ANCAHUASI,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001168,HUANIPACA,2022,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001169,OCOBAMBA,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001170,SAN ANTONIO DE CUSICANCHA,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001171,CHINCHERO,2022,4,1.2661638259887695,0.0,5.064655303955078,2.1930599212646484,0.0,3.545257568359375,0.75
001172,SAN GABAN,2022,8,2.460000514984131,0.0,19.680004119873047,6.508549690246582,0.0,5.903995513916016,0.875
001173,COYA,2022,4,3.356311798095703,0.0,7.510713577270508,3.4034252166748047,0.0,7.031859397888184,0.5
001174,HUANCANO,2022,8,0.704407274723053,0.0,5.635258197784424,1.8636865615844727,0.0,1.6905758380889893,0.875
001175,PUCARA,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001176,ANCHONGA,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001177,HUEPETUHE,2022,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001178,PUEBLO NUEVO,2022,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001179,HUACHOS,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001180,AYAPATA,2022,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001181,PAUCARTAMBO,2022,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001182,OLLANTAYTAMBO,2022,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001183,MACHUPICCHU,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001184,SAN JUAN DE YANAC,2022,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001185,CAMANTI,2022,17,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001186,SAN VICENTE DE CANETE,2022,8,4.261135101318359,0.0,17.19658851623535,7.380893707275391,0.0,16.983718872070312,0.75
001187,TANTARA,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001188,CHALLABAMBA,2022,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
001189,RICARDO PALMA,2022,2,15.300529479980469,15.20920181274414,15.39185619354248,0.09132718294858932,15.22746753692627,15.373590469360352,0.0
