UBIGEO,NAME_CLEAN,YEAR,count,mean,min,max,std,p10,p90,pct_below_0C
000000,CODO DEL POZUZO,2024,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000001,TOURNAVISTA,2024,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000002,ALEXANDER VON HUMBOLDT,2024,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000003,IRAZOLA,2024,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000004,NESHUYA,2024,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000005,PADRE ABAD,2024,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000006,CURIMANA,2024,15,1.448654055595398,0.0,21.72981071472168,5.420367240905762,0.0,0.0,0.9333333333333333
000007,PUERTO INCA,2024,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000008,NUEVA REQUENA,2024,17,5.185186386108398,0.0,22.05320167541504,9.34773063659668,0.0,22.036148071289062,0.7647058823529411
000009,CAMPOVERDE,2024,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000010,CONTAMANA,2024,31,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000011,HUANCHACO,2024,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000012,SANTIAGO DE CAO,2024,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000013,SIMBAL,2024,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000014,MAGDALENA DE CAO,2024,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000015,CHOCOPE,2024,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000016,PAIJAN,2024,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000017,SINSICAP,2024,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000018,CHICAMA,2024,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000019,RAZURI,2024,5,3.4935569763183594,0.0,17.467784881591797,6.987113952636719,0.0,10.480669021606445,0.8
000020,MARMOT,2024,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
000021,ASCOPE,2024,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
