UBIGEO,NAME_CLEAN,mean,p90
1,SAN LUIS,18.04511833190918,18.04511833190918
1,CAMANA,17.52178192138672,17.52178192138672
1,LA MOLINA,17.270254135131836,17.5903377532959
1,CURA MORI,15.629396438598633,19.62535858154297
1,RICARDO PALMA,15.300529479980469,15.373590469360352
1,CHILETE,13.299346923828123,18.25365829467773
1,TINGO DE PONASA,12.904403686523438,21.740705490112305
1,PROVIDENCIA,12.77558422088623,17.574583053588867
1,HABANA,12.655598640441896,19.034786224365234
1,CUJILLO,12.459988594055176,19.223432540893555
1,SUBTANJALLA,12.145934104919434,14.68202781677246
1,TINGO DE SAPOSOA,10.788039207458496,19.41847038269043
1,MACATE,10.766380310058594,15.774256706237791
1,SALAVERRY,10.5419340133667,17.709211349487305
1,TARAPOTO,10.125458717346191,18.22582626342773
