UBIGEO,NAME_CLEAN,mean,p90
1,SAN LUIS,18.143367767333984,18.143367767333984
1,CAMANA,17.588607788085938,17.588607788085938
1,LA MOLINA,17.300861358642578,17.637760162353516
1,CURA MORI,15.832357406616213,19.824949264526367
1,RICARDO PALMA,15.295337677001951,15.35820484161377
1,CHILETE,13.485668182373049,18.51702880859375
1,TINGO DE PONASA,13.019841194152832,21.892528533935547
1,PROVIDENCIA,12.862564086914062,17.696666717529297
1,HABANA,12.663434028625488,19.037857055664062
1,CUJILLO,12.554360389709473,19.35159492492676
1,SUBTANJALLA,12.113930702209473,14.662561416625977
1,MACATE,10.87472438812256,15.911359786987305
1,TINGO DE SAPOSOA,10.814067840576172,19.465320587158203
1,SALAVERRY,10.605639457702637,17.764320373535156
1,TARAPOTO,10.277766227722168,18.49997901916504
