UBIGEO,NAME_CLEAN,mean,p10,pct_below_0C
1,LARI,-1.4902751445770264,-3.7717363834381104,1.0
1,PUQUINA,-1.368175745010376,-3.385014533996582,1.0
1,OMATE,-1.109624266624451,-3.106947898864746,1.0
1,MADRIGAL,-1.095191240310669,-2.628458976745605,1.0
1,ICHUPAMPA,-1.0898091793060305,-2.615541934967041,1.0
1,SAN PABLO,-1.021618366241455,-4.328019142150879,1.0
1,COALAQUE,-0.8920080661773682,-2.497622489929199,1.0
1,TICACO,-0.8887343406677246,-2.488456010818481,1.0
1,COPORAQUE,-0.8334393501281738,-2.333630084991455,1.0
1,TARUCACHI,-0.7929874062538147,-2.495013236999512,0.8
1,MACHAGUAY,-0.7311164736747742,-1.6061612367630005,1.0
1,ANTAUTA,-0.6450859904289246,-1.9352580308914185,1.0
1,OCUVIRI,-0.6429107785224915,-2.206243991851806,1.0
1,SANTA ROSA,-0.6301360726356506,-3.0611648559570312,1.0
1,SICUANI,-0.6182885766029358,-3.095269203186035,1.0
