UBIGEO,NAME_CLEAN,mean,p90
1,SAN LUIS,17.550559997558594,17.550559997558594
1,LA MOLINA,16.95620346069336,17.227128982543945
1,CAMANA,16.947866439819336,16.947866439819336
1,CURA MORI,15.517614364624023,19.450145721435547
1,RICARDO PALMA,15.1834716796875,15.26706600189209
1,CHILETE,13.279672622680664,18.205337524414062
1,TINGO DE PONASA,12.882217407226562,21.664257049560547
1,PROVIDENCIA,12.691835403442385,17.442638397216797
1,HABANA,12.592801094055176,18.94780731201172
1,CUJILLO,12.373631477355955,19.06461906433105
1,SUBTANJALLA,11.932177543640137,14.439207077026367
1,MACATE,10.741569519042969,15.687827110290527
1,TINGO DE SAPOSOA,10.69284725189209,19.24712371826172
1,SALAVERRY,10.370702743530272,17.41370391845703
1,TARAPOTO,10.088177680969238,18.15872001647949
