UBIGEO,NAME_CLEAN,mean,p90
1,SAN LUIS,18.42902183532715,18.42902183532715
1,CAMANA,17.838457107543945,17.838457107543945
1,LA MOLINA,17.480060577392578,17.836193084716797
1,CURA MORI,16.551189422607422,20.800724029541016
1,RICARDO PALMA,15.27981662750244,15.343334197998049
1,CHILETE,13.573722839355469,18.604812622070312
1,TINGO DE PONASA,13.054333686828612,21.98064994812012
1,PROVIDENCIA,12.92120361328125,17.748626708984375
1,HABANA,12.73468017578125,19.176759719848636
1,CUJILLO,12.596081733703612,19.40511703491211
1,SUBTANJALLA,12.412301063537598,15.009201049804688
1,SALAVERRY,11.287271499633787,18.989397048950195
1,MACATE,10.990697860717772,16.130516052246094
1,TINGO DE SAPOSOA,10.840556144714355,19.51300048828125
1,BELLAVISTA DE LA UNION,10.537178993225098,18.966920852661133
