UBIGEO,NAME_CLEAN,mean,p10,pct_below_0C
1,PUQUINA,-1.3982956409454346,-3.441941261291504,1.0
1,LARI,-1.381863355636597,-3.494143009185791,1.0
1,OMATE,-1.1016284227371216,-3.084559440612793,1.0
1,MADRIGAL,-1.0874096155166626,-2.6097829341888428,1.0
1,ICHUPAMPA,-1.070469617843628,-2.569127082824707,1.0
1,SAN PABLO,-0.91742342710495,-3.880903720855713,1.0
1,COALAQUE,-0.8965809941291809,-2.5104267597198486,1.0
1,COPORAQUE,-0.8130102157592773,-2.276428699493408,1.0
1,TICACO,-0.7144661545753479,-2.000505208969116,1.0
1,MACHAGUAY,-0.6788314580917358,-1.4824697971343994,1.0
1,TARUCACHI,-0.6476788520812988,-2.237189769744873,0.8
1,ANTAUTA,-0.5833824276924133,-1.7501472234725952,1.0
1,SANTA ROSA,-0.5677823424339294,-2.7605414390563965,1.0
1,AJOYANI,-0.5451488494873047,-1.635446548461914,1.0
1,SICUANI,-0.5423546433448792,-2.681894540786743,1.0
