UBIGEO,NAME_CLEAN,mean,p90
1,SAN LUIS,17.319034576416016,17.319034576416016
1,CAMANA,17.023080825805664,17.023080825805664
1,LA MOLINA,16.693317413330078,16.964405059814453
1,CURA MORI,15.154531478881836,18.96839714050293
1,RICARDO PALMA,14.70054054260254,14.79088020324707
1,CHILETE,12.84575080871582,17.625749588012695
1,TINGO DE PONASA,12.65556812286377,21.326663970947266
1,HABANA,12.570429801940918,18.91341590881348
1,PROVIDENCIA,12.552095413208008,17.25016975402832
1,CUJILLO,12.201571464538574,18.820322036743164
1,SUBTANJALLA,11.770567893981934,14.22728157043457
1,TINGO DE SAPOSOA,10.663700103759766,19.194660186767575
1,MACATE,10.32352352142334,15.13978099822998
1,SALAVERRY,10.057226181030272,16.9475040435791
1,TARAPOTO,10.00339412689209,18.0061092376709
