UBIGEO,NAME_CLEAN,mean,p10,pct_below_0C
1,LARI,-1.1528880596160889,-2.9265904426574707,1.0
1,PUQUINA,-1.1167830228805542,-2.7918195724487305,1.0
1,OMATE,-0.9829217791557312,-2.752181053161621,1.0
1,ICHUPAMPA,-0.8621472716331482,-2.069153308868408,1.0
1,MADRIGAL,-0.8574218153953552,-2.057812213897705,1.0
1,SAN PABLO,-0.8546459674835205,-3.645936727523804,1.0
1,COALAQUE,-0.7489842772483826,-2.097156047821045,1.0
1,COPORAQUE,-0.6554129719734192,-1.835156202316284,1.0
1,TICACO,-0.6542643904685974,-1.8319401741027832,1.0
1,ANTAUTA,-0.552301824092865,-1.6569055318832395,1.0
1,SANTA ROSA,-0.5306918025016785,-2.5735292434692383,1.0
1,OCUVIRI,-0.5145254135131836,-1.7647767066955566,1.0
1,AJOYANI,-0.5064173340797424,-1.5192519426345823,1.0
1,SICUANI,-0.4947808980941772,-2.426313638687134,1.0
1,PARATIA,-0.474460244178772,-0.8540283441543579,1.0
