UBIGEO,NAME_CLEAN,mean,p10,pct_below_0C
1,LARI,-1.3216581344604492,-3.3453445434570312,1.0
1,PUQUINA,-1.297298789024353,-3.190728187561035,1.0
1,OMATE,-1.0904377698898315,-3.0532257556915283,1.0
1,MADRIGAL,-1.058685064315796,-2.540844202041626,1.0
1,ICHUPAMPA,-1.0507880449295044,-2.5218911170959477,1.0
1,SAN PABLO,-0.8985216021537781,-3.811184883117676,1.0
1,TICACO,-0.8460187315940857,-2.368852376937866,1.0
1,COALAQUE,-0.8404664397239685,-2.35330581665039,1.0
1,COPORAQUE,-0.8026285767555237,-2.2473599910736084,1.0
1,TARUCACHI,-0.7241404056549072,-2.3682453632354736,0.8
1,MACHAGUAY,-0.6758356094360352,-1.4738095998764038,1.0
1,SANTA ROSA,-0.6168703436851501,-3.000102996826172,1.0
1,ANTAUTA,-0.571820080280304,-1.7154603004455566,1.0
1,AJOYANI,-0.535049557685852,-1.6051486730575562,1.0
1,SICUANI,-0.5273728966712952,-2.590295553207397,1.0
