UBIGEO,NAME_CLEAN
000001,SUYCKUTAMBO
000001,CHACHAS
000001,VISTA ALEGRE
000001,TIRAPATA
000001,CUPI
000001,CAYLLOMA
000001,COJATA
000001,PAMPAMARCA
000001,CHANGUILLO
000001,ORURILLO
000001,MACARI
000001,ASILLO
000001,CHINCHAO
000001,CHAGLLA
000001,IPARIA
000001,CONSTITUCION
000001,YUYAPICHIS
000001,ILAVE
000001,PILLUANA
000001,BALSAS
000001,TRES UNIDOS
000001,PICSI
000001,TUMAN
000001,BUENOS AIRES
000001,HUASMIN
000001,OYOTUN
000001,QUEROCOTO
000001,CUTERVO
000001,SAN MARTIN
000001,PROVIDENCIA
000001,COLCAMAR
000001,COCHAMAL
000001,UCO
000001,JIRCAN
000001,MANCOS
000001,RANRAHIRCA
000001,HUACCHIS
000001,CHINGAS
000001,YANACANCHA
000001,VILCABAMBA
000001,HUANCAPON
000001,GOYLLARISQUIZGA
000001,PISUQUIA
000001,SHANAO
000001,MORROPE
000001,PITIPO
000001,TOCMOCHE
000001,LA BANDA DE SHILCAYO
000001,SAN JUAN DE LICUPIS
000001,PAUCARBAMBA
000001,CHINCHIHUASI
000001,HUANTAR
000001,YURUA
000001,YAUTAN
000001,JANGAS
000001,CAJABAMBA
000001,PADRE MARQUEZ
000001,COLONIA
000001,ACORIA
000001,PACHAMARCA
000001,SAN PEDRO DE PILAS
000001,HUACHOCOLPA
000001,LARES
000001,SANTA ANA
000001,CHICLA
000001,LLUSCO
000001,SAN JUAN DE SALINAS
000001,PEDRO VILCA APAZA
000001,OCORURO
000001,INCHUPALLA
000001,PUCARA
000001,COLQUEMARCA
000001,TUPAC AMARU
000001,NUNOA
000001,CAPAYA
000001,MICAELA BASTIDAS
000001,AJOYANI
000001,SAN PABLO
000001,CHALLHUAHUACHO
000001,MOSOC LLACTA
000001,POMACOCHA
000001,NUEVO IMPERIAL
000001,PACARAN
000001,CAJA
000001,CHUPAMARCA
000001,LURIN
000001,PAZOS
000001,HUACRAPUQUIO
000001,CHINCHA BAJA
000001,CAPILLAS
000001,CHINCHA ALTA
000001,COASA
000001,COCAS
000001,URUBAMBA
000001,CALCA
000001,GROCIO PRADO
000001,SAN JUAN
000001,MOLLEPAMPA
000001,LAMUD
000001,QUEROCOTILLO
000001,LLAMA
000001,RUMISAPA
000001,CORTEGANA
000001,CHADIN
000001,CHIGUIRIP
000001,HUICUNGO
000001,LAMBAYEQUE
000001,SHAPAJA
000001,YUNGAR
000001,YARUMAYO
000001,AMARILIS
000001,PALCAZU
000001,CHORAS
000001,JACAS CHICO
000001,HUANUCO
000001,SANTA CRUZ DE COCACHACRA
000001,SAN JERONIMO DE TUNAN
000001,CONGALLA
000001,HUANCA-HUANCA
000001,LUNAHUANA
000001,HUAYLLAY GRANDE
000001,HUANGASCAR
000001,CASTROVIRREYNA
000001,CERRO AZUL
000001,ZUNIGA
000001,ANTA
000001,ACOBAMBA
000001,QUILMANA
000001,LINCHA
000001,ASCENSION
000001,ACOLLA
000001,ANCON
000001,CALAPUJA
000001,PARURO
000001,AYAVI
000001,ITUATA
000001,HUMAY
000001,HUANOQUITE
000001,ANDAHUAYLAS
000001,SAN JERONIMO
000001,URCOS
000001,SANTA MARIA DE CHICMO
000001,YAURISQUE
000001,SANTIAGO DE ANCHUCAYA
000001,MANZANARES
000001,ANTIOQUIA
000001,SAN AGUSTIN
000001,HUALHUAS
000001,ORCOTUNA
000001,NUEVE DE JULIO
000001,PATAMBUCO
000001,PATAYPAMPA
000001,POCOHUANCA
000001,SANDIA
000001,YANACA
000001,SAN JUAN DEL ORO
000001,TATE
000001,SANTIAGO
000001,SANAYCA
000001,PACHACONAS
000001,SORAYA
000001,PACHACUTEC
000001,SAN PEDRO
000001,LIVITACA
000001,HAQUIRA
000001,PAMPACHIRI
000001,EL ORO
000001,TINTA
000001,ATAVILLOS ALTO
000001,IBERIA
000001,MEGANTONI
000001,PALCAMAYO
000001,VITOC
000001,MAZAMARI - PANGOA
000001,LAMPIAN
000001,HUACHO
000001,IHUARI
000001,CALETA DE CARQUIN
000001,HUALMAY
000001,SANTA BARBARA DE CARHUACAYAN
000001,SANTA MARIA
000001,SANTA CRUZ DE ANDAMARCA
000001,SAN RAMON
000001,VEINTISIETE DE NOVIEMBRE
000001,TAMBOPATA
000001,IGUAIN
000001,HUAMANGUILLA
000001,TAMBO
000001,KIMBIRI
000001,PICHARI
000001,HUACCANA
000001,ORONCCOY
000001,SIVIA
000001,SANTILLANA
000001,LLOCHEGUA
000001,ANCO
000001,SAMUGARI
000001,CHILCAS
000001,SAN MIGUEL
000001,ANCHIHUAY
000001,CANAYRE
000001,QUISQUI (KICHKI)
000001,HUANCABAMBA
000001,POZUZO
000001,PUERTO BERMUDEZ
000001,PANAO
000001,UMARI
000001,YAUYUCAN
000001,ANDABAMBA
000001,SAUCE
000001,NINABAMBA
000001,ALBERTO LEVEAU
000001,LEIMEBAMBA
000001,PULAN
000001,SAUCEPAMPA
000001,HUALGAYOC
000001,LUCMA
000001,SAYAPULLO
